id,date,guest,promotion
387,11-Jan,Michael J. Fox,Spin City
388,12-Jan,Sandra Bernhard,
389,13-Jan,Tracey Ullman,
390,14-Jan,Gillian Anderson,The X-Files and Playing by Heart
391,18-Jan,David Alan Grier,
392,19-Jan,William Baldwin,Virus
393,20-Jan,Michael Stipe,
394,21-Jan,Carmen Electra,
395,25-Jan,Matthew Lillard,Dead Man's Curve
396,26-Jan,David Cross,
397,27-Jan,Yasmine Bleeth,Nash Bridges
398,28-Jan,D. L. Hughley,The Hughleys
399,1-Feb,George Carlin,You Are All Diseased
400,2-Feb,Dave Foley,NewsRadio
401,3-Feb,Kellie Martin,ER
402,4-Feb,Jerry O'Connell,The '60s
403,8-Feb,Melissa Gilbert,Murder at 75 Birch
404,9-Feb,Brendan Fraser,Blast from the Past
405,10-Feb,"Pamela Anderson, Natalie Raitano, Molly Culver",V.I.P.
406,11-Feb,Daniel Stern,Dilbert
407,16-Feb,Melina Kanakaredes,Providence
408,17-Feb,Ed McMahon,
409,18-Feb,Mike Judge,Office Space
410,1-Mar,John Tesh,One World
411,2-Mar,Eric McCormack,Will & Grace
412,3-Mar,Jeri Ryan,Star Trek: Voyager
413,4-Mar,Ryan Phillippe,Cruel Intentions
414,8-Mar,Ian McKellen,Gods and Monsters
415,9-Mar,Jon Voight,Baby Geniuses
416,10-Mar,Sammy Hagar,Album Red Voodoo
417,11-Mar,"Hootie & the Blowfish, Billy Crystal",Album Musical Chairs
418,15-Mar,Peter Krause,Sports Night
419,16-Mar,Chris Isaak,Album Speak of the Devil
420,17-Mar,"Frank DeCaro's Oscar Special,John Larroquette",Payne
421,18-Mar,Joseph Gordon-Levitt,10 Things I Hate About You
422,22-Mar,Jennifer Grey,"TV series It's Like, You Know..."
423,23-Mar,Norm Macdonald,The Norm Show
424,24-Mar,Sandra Bullock,Forces of Nature
425,25-Mar,Janine Turner,Fatal Error
426,29-Mar,Ron Howard,EDtv
427,30-Mar,Omar Epps,The Mod Squad
428,31-Mar,Diane Lane,A Walk on the Moon
429,1-Apr,Stephen Baldwin,Friends & Lovers
430,12-Apr,Ernie Hudson,Michael Jordan: An American Hero
431,13-Apr,Josh Charles,Sports Night
432,14-Apr,Jackie Chan,Twin Dragons
433,15-Apr,Marlee Matlin,Freak City
434,19-Apr,Sharon Lawrence,NYPD Blue
435,20-Apr,Rob Estes,Melrose Place Finale
436,21-Apr,Angelina Jolie,Pushing Tin
437,22-Apr,David Spade,Lost & Found
438,26-Apr,Seth Green,Austin Powers 2 and Idle Hands
439,27-Apr,Sheryl Lee Ralph,Producer of Divas Simply Singing
440,28-Apr,Chris Robinson,
441,29-Apr,Joy Behar,Book Joy Shtick and The View
442,10-May,Thomas Gibson,Dharma & Greg
443,11-May,Paula Cale,Providence
444,12-May,Ted Danson,Becker
445,13-May,Esai Morales,Atomic Train
446,17-May,Jane Seymour,"Dr. Quinn, Medicine Woman"
447,18-May,Robert Schimmel,
448,19-May,Camryn Manheim,"Book ""Wake Up, I'm Fat!"""
449,20-May,Ray Romano,Everybody Loves Raymond
450,24-May,Patricia Richardson,Home Improvement
451,25-May,Suzanne Somers,"Book ""Suzanne Somers' Get Skinny on Fabulous Food"""
452,26-May,Natalie Portman,Star Wars: Episode I
453,27-May,Jamie Foxx,Any Given Sunday
454,7-Jun,Harry Connick Jr.,Album Come by Me
455,8-Jun,Caroline Rhea,"Sabrina, the Teenage Witch"
456,9-Jun,Damon Wayans,Book Bootleg
457,10-Jun,Timothy Hutton,The General's Daughter
458,14-Jun,Mike Myers,Austin Powers: The Spy Who Shagged Me
459,15-Jun,Rob Lowe,Austin Powers: The Spy Who Shagged Me
460,16-Jun,Mike Myers,Austin Powers: The Spy Who Shagged Me
461,17-Jun,Heather Graham,Austin Powers: The Spy Who Shagged Me
462,21-Jun,Felicity Huffman,"Play ""Boston Marriage"" and Sports Night"
463,22-Jun,Jimmy Kimmel,The Man Show
464,23-Jun,Adam Sandler,Big Daddy
