date,guest,extra
1/11/1999,Michael J. Fox,
1/12/1999,Sandra Bernhard,
1/13/1999,Tracey Ullman,
1/14/1999,Gillian Anderson,
1/18/1999,David Alan Grier,
1/19/1999,William Baldwin,
1/20/1999,Michael Stipe,
1/21/1999,Carmen Electra,
1/25/1999,Matthew Lillard,
1/26/1999,David Cross,
1/27/1999,Yasmine Bleeth,
1/28/1999,D. L. Hughley,
2/1/1999,George Carlin,
2/2/1999,Dave Foley,
2/3/1999,Kellie Martin,
2/4/1999,Jerry O'Connell,
2/8/1999,Melissa Gilbert,
2/9/1999,Brendan Fraser,
2/10/1999,"Pamela Anderson, Natalie Raitano, Molly Culver",
2/11/1999,Daniel Stern,
2/16/1999,Melina Kanakaredes,
2/17/1999,Ed McMahon,
2/18/1999,Mike Judge,
3/1/1999,John Tesh,
3/2/1999,Eric McCormack,
3/3/1999,Jeri Ryan,
3/4/1999,Ryan Phillippe,
3/8/1999,Ian McKellen,
3/9/1999,Jon Voight,
3/10/1999,Sammy Hagar,
3/11/1999,"Hootie & the Blowfish, Billy Crystal",
3/15/1999,Peter Krause,
3/16/1999,Chris Isaak,
3/17/1999,John Larroquette,
3/18/1999,Joseph Gordon-Levitt,
3/22/1999,Jennifer Grey,
3/23/1999,Norm Macdonald,
3/24/1999,Sandra Bullock,
3/25/1999,Janine Turner,
3/29/1999,Ron Howard,
3/30/1999,Omar Epps,
3/31/1999,Diane Lane,
4/1/1999,Stephen Baldwin,
4/12/1999,Ernie Hudson,
4/13/1999,Josh Charles,
4/14/1999,Jackie Chan,
4/15/1999,Marlee Matlin,
4/19/1999,Sharon Lawrence,
4/20/1999,Rob Estes,
4/21/1999,Angelina Jolie,
4/22/1999,David Spade,
4/26/1999,Seth Green,
4/27/1999,Sheryl Lee Ralph,
4/28/1999,Chris Robinson,
4/29/1999,Joy Behar,
5/10/1999,Thomas Gibson,
5/11/1999,Paula Cale,
5/12/1999,Ted Danson,
5/13/1999,Esai Morales,
5/17/1999,Jane Seymour,
5/18/1999,Robert Schimmel,
5/19/1999,Camryn Manheim,
5/20/1999,Ray Romano,
5/24/1999,Patricia Richardson,
5/25/1999,Suzanne Somers,
5/26/1999,Natalie Portman,
5/27/1999,Jamie Foxx,
6/7/1999,Harry Connick Jr.,
6/8/1999,Caroline Rhea,
6/9/1999,Damon Wayans,
6/10/1999,Timothy Hutton,
6/14/1999,Mike Myers,
6/15/1999,Rob Lowe,
6/16/1999,Mike Myers,
6/17/1999,Heather Graham,
6/21/1999,Felicity Huffman,
6/22/1999,Jimmy Kimmel,
6/23/1999,Adam Sandler,
6/24/1999,Richard Belzer,
6/28/1999,Margaret Cho,
6/29/1999,Scott Wolf,
6/30/1999,Roseanne Barr,
7/1/1999,Rob Schneider,
7/12/1999,Adam Arkin,
7/13/1999,Miss Piggy,
7/14/1999,John Leguizamo,
7/15/1999,Robert Klein,
7/19/1999,Christa Miller,
7/20/1999,David Brenner,
7/21/1999,Third Anniversary Special,
7/22/1999,Joely Fisher,
7/26/1999,Donny Osmond,
7/27/1999,Wendie Malick,
7/28/1999,Vince Neil,
7/29/1999,Janeane Garofalo,
8/2/1999,Bebe Neuwirth,
8/3/1999,Garry Marshall,
8/4/1999,Denis Leary,
8/5/1999,Jeffrey Tambor,
8/9/1999,Dave Foley,
8/10/1999,Dom Irrera,
8/11/1999,Pierce Brosnan,
8/12/1999,Eduardo Sanchez & Daniel Myrick,
8/16/1999,Carson Daly,
8/17/1999,Molly Ringwald,
8/18/1999,Sarah Jessica Parker,
8/19/1999,French Stewart,
8/23/1999,Cheryl Ladd,
8/24/1999,LL Cool J,
8/25/1999,Dwight Yokam,
8/26/1999,Nia Long,
8/30/1999,Summer Spectacular,
9/13/1999,Elayne Boosler,
9/14/1999,Tom Green,
9/15/1999,Jason Priestly,
9/16/1999,David Cross,
9/20/1999,Andy Richter,
9/21/1999,Donny Osmond & Marie Osmond,
9/22/1999,Dave Chappelle,
9/23/1999,Steve Zahn,
9/27/1999,Norm Macdonald,
9/28/1999,Melissa Joan Hart,
9/29/1999,Richard Lewis,
9/30/1999,Bruce McCulloch and Mark McKinney,
10/4/1999,Greg Proops,
10/5/1999,Maury Povich,
10/6/1999,Brooke Shields,
10/7/1999,Molly Shannon,
10/18/1999,Rebecca Gayheart,
10/19/1999,Steven Wright,
10/20/1999,Amy Brenneman,
10/21/1999,Melissa Gilbert,
10/25/1999,Cathy Moriarty,
10/26/1999,Louie Anderson,
10/27/1999,Sarah Michelle Gellar,
10/28/1999,Melanie C.,
11/1/1999,Chris O'Donnell,
11/2/1999,Jennifer Love Hewitt,
11/3/1999,Dave Grohl,
11/4/1999,Roshumba Williams,
11/8/1999,Kellie Martin,
11/9/1999,Kathy Griffin,
11/15/1999,Christina Ricci,
11/16/1999,Tori Amos,
11/17/1999,Lennox Lewis,
11/18/1999,Bill Maher,
11/29/1999,Goo Goo Dolls,
11/30/1999,Stephen Rea,
12/1/1999,Laura San Giacomo,
12/2/1999,Michael Boatman,
12/6/1999,Paul Rudd,
12/7/1999,"Senator Bob Dole, part 1",
12/8/1999,"Senator Bob Dole, part 2",
12/9/1999,Rob Schneider,
12/13/1999,Joan Lunden,
12/14/1999,Shannen Doherty,
12/15/1999,Greatest Millenium Special,
12/16/1999,George Carlin,
12/20/1999,David Boreanaz,
12/21/1999,Jewel,
1/4/2000,Cynthia Nixon,
1/5/2000,Robbie Williams,
1/6/2000,Richard Belzer,
1/10/2000,Joe Montana,
1/11/2000,Will Ferrell,
1/12/2000,Ice Cube,
1/13/2000,Michael Stipe,
1/17/2000,Penelope Ann Miller,
1/18/2000,Frankie Muniz,
1/19/2000,Freddie Prinze Jr.,
1/20/2000,Jerry Springer,
1/24/2000,Selma Blair,
1/25/2000,Peter Krause,
1/26/2000,Jenny McCarthy,
1/27/2000,David Arquette,
2/1/2000,Jeff Bridges,
2/2/2000,Bob Dole,
2/3/2000,Jason Priestly,
2/14/2000,Moby,
2/15/2000,Dennis Farina,
2/16/2000,Matthew Perry,
2/17/2000,Ed McMahon,
2/22/2000,Snoop Dogg,
2/23/2000,Charlize Theron,
2/24/2000,Rachael Leigh Cook,
2/28/2000,Forest Whitaker,
2/29/2000,Vin Diesel,
3/1/2000,Tobey Maguire,
3/2/2000,Ellen DeGeneres,
3/6/2000,Neil Patrick Harris,
3/7/2000,Kevin Pollak,
3/8/2000,Bob Dole,
3/9/2000,Garry Shandling,
3/13/2000,Eddie Izzard,
3/14/2000,Kim Delaney,
3/15/2000,Wolf Blitzer,
3/16/2000,Drew Carey,
3/20/2000,Chris Meloni,
3/21/2000,Marla Sokoloff,
3/22/2000,Eric Idle,
3/23/2000,Leelee Sobieski,
3/27/2000,John Lydon,
3/28/2000,Joshua Jackson,
3/29/2000,Sam Donaldson,
3/30/2000,Jimmy Smits,
4/10/2000,Roger Daltrey,
4/11/2000,Ben Stein,
4/12/2000,Patrick Stewart,
4/13/2000,David Alan Grier,
4/17/2000,Stanley Tucci,
4/18/2000,Samantha Mathis,
4/19/2000,Diamond Dallas Page,
4/20/2000,Arlen Specter,
4/24/2000,Hugh Hefner,
4/25/2000,Kirsten Dunst,
4/26/2000,Jeanne Tripplehorn,
4/27/2000,Stephen Baldwin,
5/1/2000,S. Epatha Merkerson,
5/2/2000,Luke Wilson,
5/3/2000,Julie Warner,
5/4/2000,Eric Close,
5/8/2000,Wendie Malick,
5/9/2000,Jesse L. Martin,
5/10/2000,Andy Richter,
5/11/2000,Betty White,
5/15/2000,Tracey Ullman,
5/16/2000,Kyle MacLachlan,
5/17/2000,Jane Leeves,
5/18/2000,Michael Rapaport,
5/30/2000,Laura Kightlinger,
5/31/2000,Thandie Newton,
6/1/2000,Sonja Christopher,
6/5/2000,Penn and Teller,
6/6/2000,Kelli Williams,
6/7/2000,Michael Moore,
6/12/2000,When the Elderly Go on TV with Al Greenwood,
6/13/2000,Mark Curry,
6/14/2000,Jimmy Kimmel & Adam Carolla,
6/15/2000,Julie Brown,
6/19/2000,Heather Donahue,
6/20/2000,Joe Lockhart,
6/21/2000,Freddie Prinze Jr.,
6/22/2000,Alicia Silverstone,
6/26/2000,Cheri Oteri,
6/27/2000,Jeff Probst,
6/28/2000,Richie Sambora,
6/29/2000,John C. Reilly,
7/10/2000,Anna Paquin,
7/11/2000,J.K. Simmons,
7/12/2000,Famke Janssen,
7/13/2000,Billy Crudup,
7/17/2000,Shawn & Marlon Wayans,
7/18/2000,Halle Berry,
7/19/2000,Fourth Anniversary Special,
7/20/2000,Al Roker,
7/24/2000,Peter Fonda,
7/25/2000,Joe Eszterhas,
7/26/2000,Jennifer Beals,
7/31/2000,Campaign Trail to the Road to the White House,
8/1/2000,Republican National Convention Pt. 1,
8/2/2000,Republican National Convention Pt. 2,
8/3/2000,Republican National Convention Pt. 3,
8/4/2000,Republican National Convention Pt. 4,
8/15/2000,Democratic National Convention Pt. 1,
8/16/2000,Democratic National Convention Pt. 2,
8/17/2000,Democratic National Convention Pt. 3,
